,8,9,10,11,12
437,123,384,234,686,778
438,219,151,569,556,612
439,132,427,193,208,1223
440,124,310,378,275,912
441,106,251,621,439,350
442,130,341,361,337,341
443,63,158,543,600,519
444,72,308,179,772,266
445,131,184,537,670,261
446,218,133,340,295,347
447,185,130,337,331,250
448,127,263,384,299,1065
449,129,197,347,1277,312
450,64,114,314,449,243
451,179,291,279,459,1491
452,235,192,659,273,372
453,111,423,210,474,543
454,119,194,423,490,797
455,133,98,624,369,396
456,87,169,208,350,590
457,104,257,399,594,624
458,143,183,254,322,664
459,143,112,226,349,720
460,150,222,283,195,390
461,131,277,401,346,606
462,178,301,389,259,309
463,76,472,608,198,340
464,133,199,137,283,754
465,212,338,406,515,159
466,231,225,535,538,325
467,246,414,193,311,1290
468,239,435,466,234,561
469,174,272,396,562,483
470,243,211,360,811,841
471,84,247,354,709,358
472,187,365,825,383,325
473,140,418,268,555,542
474,214,274,199,231,277
475,229,201,216,395,613
476,210,277,525,245,420
477,176,155,535,526,312
478,179,246,533,188,360
479,220,295,605,300,471
480,130,325,441,435,505
481,126,139,390,300,464
482,110,90,287,461,831
483,137,162,478,330,468
484,136,162,249,303,753
485,166,159,245,210,725
486,128,169,429,403,422
487,179,351,407,317,650
488,171,230,261,502,1066
489,132,180,521,443,256
490,231,92,240,257,560
491,177,267,680,303,1262
492,223,131,711,177,972
493,232,240,160,539,798
494,177,282,441,191,481
495,231,468,425,535,1417
496,161,290,382,486,582
497,185,199,347,429,413
498,134,318,231,643,1055
499,164,273,184,377,589
