,leaf_cnt_0,leaf_cnt_1,leaf_cnt_2,valid_loss
482,13,14,14,0.196955
483,13,14,13,0.196798
484,12,14,13,0.196569
485,15,15,14,0.196399
486,14,13,13,0.196241
487,15,15,12,0.196116
488,13,14,14,0.195856
489,13,12,13,0.19568
490,14,13,14,0.19549
491,14,15,14,0.195355
492,14,14,13,0.195129
493,14,13,15,0.194881
494,14,14,13,0.194702
495,15,14,14,0.194516
496,14,14,14,0.194378
497,14,13,13,0.194205
498,14,13,15,0.194031
499,13,13,14,0.193776
